Email,PhoneNumber,CreditScore,AgeGroup,FamilyBackground,Income,Comments,Intent
user0@test.com,+91-9728437996,779,36-50,Married,980072,,1
user1@test.com,+91-9674400250,438,18-25,Married with Kids,905386,,1
user2@test.com,+91-9557698406,399,18-25,Married with Kids,710617,,0
user3@test.com,+91-9553656666,719,36-50,Married with Kids,176484,need this asap,1
user4@test.com,+91-9811587831,721,26-35,Married with Kids,324641,call me back,1
user5@test.com,+91-9504900737,749,36-50,Married with Kids,199311,,1
user6@test.com,+91-9855366274,645,36-50,Married,805428,need this asap,1
user7@test.com,+91-9734131324,716,36-50,Married,972118,,1
user8@test.com,+91-9516130940,578,26-35,Single,502752,not interested,0
user9@test.com,+91-9346882436,790,51+,Married with Kids,849028,,1
user10@test.com,+91-9876762904,761,18-25,Married,411335,,0
user11@test.com,+91-9630796547,626,26-35,Married,338157,,0
user12@test.com,+91-9911580699,535,18-25,Married with Kids,556065,,1
user13@test.com,+91-9814052022,758,36-50,Married,145493,,1
user14@test.com,+91-9911317721,480,36-50,Single,723261,very interested,1
user15@test.com,+91-9323138964,615,26-35,Married with Kids,847405,,1
user16@test.com,+91-9167155630,678,26-35,Married with Kids,157989,,0
user17@test.com,+91-9650774381,479,18-25,Married,558176,,1
user18@test.com,+91-9147053421,615,26-35,Married with Kids,312165,,0
user19@test.com,+91-9666942841,677,51+,Single,656198,,1
user20@test.com,+91-9184822402,348,36-50,Single,780604,,1
user21@test.com,+91-9264373784,525,36-50,Single,246954,,0
user22@test.com,+91-9954066268,668,36-50,Married,504249,,1
user23@test.com,+91-9791920808,708,36-50,Married,851175,very interested,1
user24@test.com,+91-9636194719,733,18-25,Married with Kids,203032,,1
user25@test.com,+91-9646517713,713,26-35,Single,428283,,0
user26@test.com,+91-9745388316,599,26-35,Married,432480,,0
user27@test.com,+91-9104843231,361,26-35,Married with Kids,498906,looking for a quote urgently,1
user28@test.com,+91-9756102925,631,36-50,Single,106748,,1
user29@test.com,+91-9196455834,827,18-25,Married with Kids,471909,,1
user30@test.com,+91-9265046687,839,51+,Married,433865,,0
user31@test.com,+91-9498447242,340,26-35,Single,935770,,0
user32@test.com,+91-9981412515,679,26-35,Married with Kids,657926,,1
user33@test.com,+91-9121430319,422,18-25,Single,981316,,1
user34@test.com,+91-9721816070,655,51+,Married,123010,,1
user35@test.com,+91-9439585491,720,26-35,Married,208902,,1
user36@test.com,+91-9455770124,662,51+,Married with Kids,997567,,1
